iter	Passed	Remaining
569	5550	4187
570	5560	4177
571	5570	4168
572	5582	4160
573	5592	4150
574	5604	4142
575	5616	4134
576	5626	4124
577	5637	4115
578	5648	4107
579	5658	4097
580	5670	4089
581	5682	4081
582	5693	4072
583	5706	4064
584	5723	4059
585	5736	4052
586	5750	4046
587	5763	4038
588	5774	4029
589	5788	4022
590	5801	4014
591	5811	4005
592	5820	3995
593	5830	3985
594	5839	3974
595	5849	3965
596	5860	3956
597	5870	3946
598	5880	3936
599	5890	3927
600	5900	3917
601	5911	3908
602	5920	3898
603	5932	3889
604	5943	3880
605	5953	3870
606	5965	3862
607	5976	3853
608	5985	3842
609	5995	3833
610	6004	3822
611	6014	3813
612	6025	3804
613	6035	3794
614	6048	3786
615	6061	3778
616	6073	3770
617	6084	3760
618	6098	3753
619	6112	3746
620	6123	3737
621	6132	3726
622	6142	3716
623	6151	3706
624	6162	3697
625	6171	3687
626	6181	3677
627	6191	3667
628	6200	3657
629	6213	3649
630	6224	3639
631	6232	3629
632	6244	3620
633	6254	3610
634	6264	3600
635	6274	3590
636	6283	3580
637	6294	3571
638	6305	3562
639	6315	3552
640	6326	3543
641	6339	3535
642	6351	3526
643	6363	3517
644	6374	3508
645	6384	3498
646	6395	3489
647	6408	3480
648	6421	3473
649	6431	3462
650	6444	3454
651	6456	3446
652	6469	3438
653	6482	3429
654	6495	3421
655	6511	3414
656	6525	3406
657	6538	3398
658	6550	3389
659	6562	3380
660	6576	3372
661	6590	3364
662	6603	3356
663	6614	3346
664	6627	3338
665	6640	3330
666	6653	3321
667	6667	3313
668	6679	3304
669	6691	3295
670	6703	3286
671	6713	3276
672	6725	3267
673	6738	3259
674	6751	3250
675	6762	3241
676	6772	3231
677	6785	3222
678	6797	3213
679	6810	3205
680	6821	3195
681	6834	3186
682	6846	3177
683	6859	3168
684	6869	3159
685	6882	3150
686	6893	3140
687	6904	3131
688	6916	3121
689	6927	3112
690	6937	3102
691	6949	3093
692	6962	3084
693	6974	3075
694	6983	3064
695	6993	3054
696	7002	3044
697	7013	3034
698	7023	3024
699	7032	3013
700	7042	3003
701	7051	2993
702	7062	2983
703	7073	2974
704	7084	2964
705	7094	2954
706	7107	2945
707	7118	2935
708	7130	2926
709	7141	2917
710	7152	2907
711	7164	2898
712	7175	2888
713	7185	2878
714	7198	2869
715	7211	2860
716	7224	2851
717	7235	2841
718	7246	2832
719	7259	2823
720	7268	2812
721	7278	2802
722	7289	2792
723	7299	2782
724	7309	2772
725	7321	2763
726	7330	2752
727	7341	2742
728	7353	2733
729	7362	2723
730	7373	2713
731	7383	2703
732	7393	2693
733	7404	2683
734	7414	2673
735	7425	2663
736	7437	2653
737	7447	2644
738	7459	2634
739	7469	2624
740	7478	2614
741	7489	2604
742	7500	2594
743	7510	2584
744	7521	2574
745	7533	2564
746	7542	2554
747	7553	2544
748	7563	2534
749	7574	2524
750	7585	2515
751	7595	2504
752	7606	2495
